source_id,recording_id,prompt,text_original,style,utterance_start_s,utterance_end_s,segment_index,label_original,segment_start_rel_s,segment_end_rel_s,segment_start_abs_s,segment_end_abs_s,annotation_provenance,source_file,source_blob_sha
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,11,E,1.015,1.081687,21.175,21.241687,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,12,l,1.081687,1.105,21.241687,21.265,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,13,C,1.105,1.173823,21.265,21.333823,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,14,@,1.173823,1.178123,21.333823,21.338123,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,15,m,1.178123,1.240776,21.338123,21.400776,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,16,ts,1.240776,1.345,21.400776,21.505,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,17,u:,1.345,1.405,21.505,21.565,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,18,S,1.405,1.461905,21.565,21.621905,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,19,t,1.461905,1.508438,21.621905,21.668438,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,20,a,1.508438,1.55,21.668438,21.71,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,21,n,1.55,1.59151,21.71,21.75151,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,22,t,1.59151,1.628979,21.75151,21.788979,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,23,b,1.628979,1.676464,21.788979,21.836464,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,24,I,1.676464,1.715,21.836464,21.875,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,25,s,1.715,1.774556,21.875,21.934556,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,26,t,1.774556,1.802811,21.934556,21.962811,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,27,d,1.802811,1.84297,21.962811,22.00297,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,28,u:,1.84297,1.913375,22.00297,22.073375,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,29,h,1.913375,1.96,22.073375,22.12,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,30,OY,1.96,2.08045,22.12,22.24045,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,31,t,2.08045,2.148358,22.24045,22.308358,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,32,@,2.148358,2.303421,22.308358,22.463421,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,33,_,2.303421,3.835,22.463421,23.995,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0007,spike0007,Wie fühlst du dich heute?,angry,24.0,27.0,1,H#,0,0.17,24.0,24.17,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0007,spike0007,Wie fühlst du dich heute?,angry,24.0,27.0,2,v,0.17,0.23,24.17,24.23,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0007,spike0007,Wie fühlst du dich heute?,angry,24.0,27.0,3,i:,0.23,0.382713,24.23,24.382713,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0007,spike0007,Wie fühlst du dich heute?,angry,24.0,27.0,4,f,0.382713,0.49,24.382713,24.49,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0007,spike0007,Wie fühlst du dich heute?,angry,24.0,27.0,5,y:,0.49,0.567005,24.49,24.567005,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0007,spike0007,Wie fühlst du dich heute?,angry,24.0,27.0,6,l,0.567005,0.61,24.567005,24.61,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0007,spike0007,Wie fühlst du dich heute?,angry,24.0,27.0,7,s,0.61,0.716282,24.61,24.716282,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0007,spike0007,Wie fühlst du dich heute?,angry,24.0,27.0,8,t,0.716282,0.725,24.716282,24.725,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0007,spike0007,Wie fühlst du dich heute?,angry,24.0,27.0,9,d,0.725,0.739892,24.725,24.739892,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0007,spike0007,Wie fühlst du dich heute?,angry,24.0,27.0,10,u:,0.739892,0.786927,24.739892,24.786927,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0007,spike0007,Wie fühlst du dich heute?,angry,24.0,27.0,11,d,0.786927,0.836957,24.786927,24.836957,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0007,spike0007,Wie fühlst du dich heute?,angry,24.0,27.0,12,I,0.836957,0.886445,24.836957,24.886445,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0007,spike0007,Wie fühlst du dich heute?,angry,24.0,27.0,13,C,0.886445,0.977362,24.886445,24.977362,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0007,spike0007,Wie fühlst du dich heute?,angry,24.0,27.0,14,h,0.977362,1.015,24.977362,25.015,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0007,spike0007,Wie fühlst du dich heute?,angry,24.0,27.0,15,OY,1.015,1.16104,25.015,25.16104,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0007,spike0007,Wie fühlst du dich heute?,angry,24.0,27.0,16,t,1.16104,1.247613,25.16104,25.247613,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0007,spike0007,Wie fühlst du dich heute?,angry,24.0,27.0,17,@,1.247613,1.363147,25.247613,25.363147,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0007,spike0007,Wie fühlst du dich heute?,angry,24.0,27.0,18,_,1.363147,2.995,25.363147,26.995,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0008,spike0008,Ach ja?,angry,27.0,28.92,1,H#,0,0.280902,27.0,27.280902,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0008,spike0008,Ach ja?,angry,27.0,28.92,2,?,0.280902,0.324898,27.280902,27.324898,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0008,spike0008,Ach ja?,angry,27.0,28.92,3,a,0.324898,0.408238,27.324898,27.408238,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0008,spike0008,Ach ja?,angry,27.0,28.92,4,x,0.408238,0.475,27.408238,27.475,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0008,spike0008,Ach ja?,angry,27.0,28.92,5,j,0.475,0.61,27.475,27.61,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0008,spike0008,Ach ja?,angry,27.0,28.92,6,a:,0.61,0.963273,27.61,27.963273,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0008,spike0008,Ach ja?,angry,27.0,28.92,7,_,0.963273,1.915,27.963273,28.915,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
