source_id,source_file,upstream_blob_sha,prompt,text,style,utterance_start_s,utterance_end_s,segment_index,original_label,original_cumulative_end_s,normalized_ipa,annotation_status,provenance
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,1,H#,0.542247,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,23,t,2.061938,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,24,v,2.0867,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,25,O,2.180043,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,26,6,2.226714,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,27,t,2.316986,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,28,@,2.32804,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,29,n,2.399275,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,30,_,2.65781,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,31,?,2.691585,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,32,E,2.72229,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,33,6,2.741327,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,34,ts,2.853092,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,35,E:,2.928012,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,36,l,2.960559,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,37,m,3.015,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,38,i:,3.045,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,39,6,3.08,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,40,?,3.095,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,41,aI,3.225,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,42,n,3.251641,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,43,f,3.310594,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,44,a,3.357266,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,45,x,3.403937,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,46,?,3.417447,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,47,E,3.48684,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,48,t,3.558361,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,49,v,3.57834,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,50,a,3.645,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,51,s,3.72,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,52,?,3.727566,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,53,U,3.781606,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,54,n,3.813539,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,55,t,3.864018,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,56,?,3.872978,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,57,I,3.920392,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,58,C,3.985,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,59,v,4.032772,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,60,e:,4.085,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,61,6,4.145,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,62,d,4.169176,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,63,@,4.21393,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,64,?,4.228668,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,65,a,4.33982,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,66,n,4.39,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,67,t,4.461411,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,68,v,4.495186,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,69,O,4.570106,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,70,6,4.64,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,71,t,4.711962,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,72,@,4.719946,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,73,n,4.823114,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,74,_,6.595,,manually_corrected,upstream YAML; source values preserved
