candidate_id,title,url,why_promising,open_question,priority,discovered_date
eastern_andalusian_harmony_2026,"Stressed lax triggers in Eastern Andalusian Spanish harmony: effects of final -r and -s deletion",https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/stressed-lax-triggers-in-eastern-andalusian-spanish-harmony-the-effects-of-final-r-and-s-deletion/D8EF6D2CBFCB5F1F25508272113FD370,"JIPA paper reports recordings manually segmented in Praat and scripted F1/F2/F0/F3 extraction from cropped vowels.",Locate a public OSF/Zenodo/GitHub or supplementary deposit and verify license and token-level availability before inclusion.,HIGH,2026-08-29
georgiou_paphiti_2026_cypriot_autism_vowels,"Acoustic analysis of vowel production in adults with autism spectrum disorder: beyond the notion of a unitary autistic voice",https://doi.org/10.3389/fpsyg.2026.1854297,"36 primary Cypriot Greek speakers; vowel boundaries manually segmented; F0, F1-F3, delta F0/F1/F2/F3, duration, jitter, shimmer, HNR, intensity, VSA and VSD reported.",Published data-availability statement says raw data will be made available by authors / preprint says on request; locate a genuinely public downloadable deposit before core ingestion.,HIGH,2026-09-07
jaeger_daeglau_grimm_bleichner_2026_monologues,"Dataset of audiovisual unscripted monologues with speech annotations",https://doi.org/10.1016/j.dib.2026.112932,"Primary controlled-lab German monologues: >300 minutes, 6 speakers, 60 takes; word/phoneme/pause events at millisecond resolution; article explicitly reports manual correction steps to improve forced-alignment quality.",Locate and inspect the authoritative public data deposit; verify whether manual correction covered all phone boundaries/records or only a subset, and inventory events.tsv/JSON/HED files before admission.,HIGH,2026-09-08
parker_2008_sonority_mendeley,"Data for studying sonority / Sound level protrusions as physical correlates of sonority",https://doi.org/10.17632/5jcwt7rffw.6,"Primary English and Spanish recordings from 2005; Mendeley deposit is CC BY 4.0 and states WAV files were manually segmented and analyzed in Praat 4.3.17.",Deposit page currently exposes raw WAV provenance but not a machine-readable file list or the manual segmentation/measurement products in the surfaced record; resolve files and determine whether the manual annotation/derived measurement layer is publicly obtainable before core admission.,HIGH,2026-09-08
xu_2025_plastic_mandarin_tones,"Plastic Mandarin tones: regional identity in prosody",https://osf.io/x4jq2/,"Primary Plastic Mandarin and Changsha citation-tone production from the same speakers; paper reports 21 equidistant f0 samples per contour, visual revision of track intervals, and manual correction of f0 artifacts such as octave errors; 2,618 Plastic Mandarin and 1,848 Changsha contours are reported.",Enumerate the OSF x4jq2 file tree and verify that token-level f0 trajectories/raw or normalized values plus speaker/token metadata are publicly downloadable; ingest all 21 timepoints per token and retain raw Hz and semitone-normalized values separately if present.,HIGH,2026-09-08
aphasiabd_bengali_2026,AphasiaBD: A Bengali Speech Dataset for Broca's and Global Aphasia,https://doi.org/10.5281/zenodo.21863777,"Primary clinical Bengali production from 38 post-stroke speakers across conversation, repetition, question-answering and reading; 335 audio clips are explicitly manually segmented at sentence level and include clinically relevant production phenomena.",Inspect the ZIP/file tree and annotation format; verify whether manual segment boundaries/labels and participant/task metadata are separately accessible and whether redistribution/license terms permit structured mirroring before core admission.,HIGH,2026-09-09
hu_2025_tibetan_trilingual_diphthongs,The Data of Formants of Tibetan Trilingual Learners' English Vowels Production,https://doi.org/10.17632/9y6c4hnt7v.1,"Primary L3 English diphthong production by Tibetan-Chinese-English trilingual learners; public Mendeley deposit reports F1/F2 trajectories and peak values extracted in Praat with careful manual annotation and validation, plus demographic metadata; CC BY 4.0.",Resolve direct file-download URLs and parse Tibetan Females.txt, Tibetan Males.txt, and participant-background DOCX; verify trajectory timepoint structure and exact speaker/token identifiers before core admission.,HIGH,2026-09-09
gorba_cebrian_2021_vot,"The role of L2 experience in L1 and L2 perception and production of voiceless stops by English learners of Spanish",https://doi.org/10.17632/fz4wsdtpvz.1,"Primary Journal of Phonetics production experiment; public CC BY 4.0 Mendeley deposit exposes Excel results for Spanish /k,p/ and English /k,p/ production alongside a separate perception experiment.",Verify from the full methods that production VOT landmarks/measurements were manually created or exhaustively human-verified, then enumerate and parse the production Excel workbook while excluding perception stimuli/results from the production core.,HIGH,2026-09-09
schertz_khan_2020_hindi_urdu,"Acoustic cues in production and perception of the four-way stop laryngeal contrast in Hindi and Urdu",https://osf.io/qxpbg/,"Primary Journal of Phonetics Hindi/Urdu stop-production experiment with a public 1.1 MB OSF project; production examines prevoicing duration, aspiration duration, voice quality and f0 across a four-way laryngeal contrast.",Verify from methods/readme that acoustic landmarks and cue measurements were manually created/corrected or exhaustively human-verified; enumerate OSF files and isolate production observations from perception materials before core admission.,HIGH,2026-09-10
auspeech_2025,"An Audio-Ultrasound Synchronized Database of Tongue Movement for Mandarin speech",https://doi.org/10.1038/s41597-025-04917-w,"Primary synchronized audio+ultrasound production from 43 healthy Mandarin speakers and 11 speakers with dysarthria; normal-data MFA/VAD alignments received manual inspection and patient annotations were entirely manual; TextGrid files are part of the dataset.",Resolve public ScienceDB file-level access and determine whether every normal-session TextGrid was exhaustively human-verified; patient subset is especially strong for core ingestion because all annotations were manual. Preserve synchronized ultrasound and task metadata without mirroring the ~676 GB media archive.,HIGH,2026-09-10
sait_ema_2026,"SAIT-EMA: A Tridimensional Electromagnetic Articulography Database for Mandarin with Diverse Language Backgrounds",https://doi.org/10.1038/s41597-026-07237-9,"Primary synchronized EMA+audio corpus from 18 participants (12 Mandarin controls and 6 L2 learners); public Zenodo deposit under CC BY 4.0, 250-Hz articulatory trajectories and 48-kHz audio, with manual error annotation reported.",Enumerate Zenodo files and isolate the exact manually annotated/error-coded layer; verify whether interval/landmark annotation for acoustic-articulatory alignment was manual or whether only error labels were manual before admitting trajectory observations to core.,HIGH,2026-09-10
cox_dideriksen_2023_danish_ids,"Infant-directed speech does not always involve exaggerated vowel distinctions: Evidence from Danish",https://osf.io/ywf9m/,"Primary spontaneous Danish caregiver production from 26 speakers. The study reports manual onset/offset segmentation of 9,267 vowel tokens in Praat and makes raw vowel-formant data plus analysis code publicly available on OSF. This is unusually valuable for style-conditioned vowel production because the source distinguishes infant-directed and adult-directed speech and preserves raw formants before Lobanov normalization.","Enumerate the OSF file tree and verify that token-level rows retain speaker ID, vowel identity, IDS/ADS style, duration and raw F1/F2 values; determine whether manual boundary timestamps themselves are deposited or only measurements derived from them. If public measurements are linked to the manually segmented vowels, admit the production table while retaining raw and normalized formants separately.",HIGH,2026-09-10
spoken_wikipedia_photodiode_gold,"Spoken Wikipedia Corpus manual gold-standard alignment subset (German Photodiode article)",https://doi.org/10.25592/uhhfdm.1875,"The public Spoken Wikipedia Corpus is primary volunteer read speech under CC BY-SA 4.0. The corpus paper reports a manually annotated word-boundary gold standard for one German article (Photodiode; 859 words) used to evaluate automatic alignment, making that isolated human-aligned subset potentially admissible even though the broader SWC phoneme/word alignment is automatic.","Locate the actual gold-standard boundary file in the authoritative Hamburg deposit or linked project files; ingest only the manually aligned Photodiode subset and exclude automatic alignments from core unless separately human-verified.",HIGH,2026-09-11
rescuespeech_2023,RescueSpeech: A German Corpus for Speech Recognition in Search and Rescue Domain,https://doi.org/10.5281/zenodo.8077622,"Primary German speech from simulated search-and-rescue exercises; Zenodo explicitly describes the recordings as manually annotated and exposes an open public dataset.","Inspect the downloadable archive and annotation schema to determine whether the human annotation is phonetic/temporal enough for this database (rather than transcript-only), identify interval granularity and annotator procedure, and ingest only qualifying manual production layers.",MEDIUM,2026-09-11
nagle_huensch_zarate_2023_l2_spanish,"Exploring phonetic predictors of intelligibility, comprehensibility, and foreign accent in L2 Spanish speech",https://osf.io/m2r49/,"Primary picture-description productions from 42 L2 Spanish speakers; all 84 utterances were phonemically segmented in Praat, segments checked by at least two researchers, and the public OSF project contains the analysis data/materials. The study supplies manual/coded production measures including intonational phrase boundaries and tones, VOT, stop lenition, rhotic accuracy, coda-l velarization, final-vowel diphthongization, and phonemic-error labels.","Enumerate the OSF project and identify which token-level phonetic tables and/or TextGrids are publicly downloadable; ingest all production predictors and original coding while keeping listener transcription/rating outcomes in a linked but non-production table rather than treating perception responses as production observations.",HIGH,2026-09-12
l2_arctic_manual_subset,L2-ARCTIC manually annotated non-native English subset,https://psi.engr.tamu.edu/l2-arctic-corpus/,"Primary production from 24 non-native English speakers across six L1s. The corpus explicitly isolates 3,599 manually annotated read-speech utterances (~150 per speaker) with corrected word and phone boundaries and substitution/deletion/addition labels; its spontaneous suitcase subset also has fully human-checked word/phone transcriptions. The automatic forced-alignment directory is structurally separate from the manual annotation directory.","Enumerate an authoritative downloadable release and ingest only /annotation TextGrids plus suitcase manual annotations, speaker metadata, transcripts and linked recordings; exclude ordinary /textgrid forced-aligned files. Preserve original ARPAbet/error tags and boundaries before any defensible IPA mapping.",HIGH,2026-09-12
