source_id,analysis_domain,default_pool,speaker_n,language,audio_status,context_status,trajectory_status,event_status,VV_CARRYOVER,VV_ANTICIPATORY,CV_PLACE,VC_EFFECT,NASAL,LARYNGEAL,VOT_VOWEL,LABIALIZATION,RHOTIC_LATERAL,TEMPORAL,notes
cohn_zellou_2023_clear_speech,SPEECH,TRUE,27,California English,UNKNOWN,TARGET_VOWEL_CONTEXT,F1_F3_PLUS_NASAL_TRAJECTORIES,MANUAL_VOWEL_BOUNDARIES,NOT_SUPPORTED,NOT_SUPPORTED,POSSIBLE,NOT_SUPPORTED,READY,NOT_SUPPORTED,NOT_SUPPORTED,POSSIBLE,POSSIBLE,READY,"Immediate anchor dataset for nasal coarticulation; style/rate remain moderators rather than separate outcomes."
l2_arctic_manual_subset,L2_SPEECH,TRUE,24,Non-native English,GATED,MANUAL_PHONE_CONTEXT,NONE,MANUAL_PHONE_BOUNDARIES,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,READY,"Only the 3,599 manually examined utterances qualify. Re-extraction requires gated download."
xi_li_prieto_2024_l2_vowels,L2_SPEECH,TRUE,99,Catalan-Spanish L2 English,UNKNOWN,TARGET_VOWEL_CONTEXT,MIDPOINT_F1_F2,MANUAL_VOWEL_BOUNDARIES,NOT_SUPPORTED,NOT_SUPPORTED,POSSIBLE,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,POSSIBLE,POSSIBLE,POSSIBLE,"Large speaker sample but current validated measurements are midpoint-only; trajectory analyses require accessible audio/annotations."
parker_sonority_2008_2019,SPEECH,TRUE,UNKNOWN,English; Spanish,YES,MANUAL_SEGMENT_CONTEXT,NONE,MANUAL_SEGMENT_BOUNDARIES,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,READY,"Open CC-BY audio plus manual segmentation make this a strong re-extraction source once speaker/token metadata are normalized."
turead_oral_reading_2023,SPEECH,FALSE,196,Turkish,UNKNOWN,WORD_LEVEL_ONLY,NONE,MANUAL_WORD_ARTICULATION_BOUNDARIES,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,"Manual timing is word-level rather than segment-level, so it is not used for the ten target analyses."
cox_dideriksen_kerenportnoy_2023_danish_ids,SPEECH,TRUE,26,Danish,NO,UNKNOWN,F1_F2_MEASUREMENTS,MANUAL_VOWEL_BOUNDARIES,POSSIBLE,POSSIBLE,POSSIBLE,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,POSSIBLE,POSSIBLE,READY,"9,267 vowel durations/formants are usable; coarticulation eligibility beyond duration depends on context fields in the released derived table because raw audio is not public."
chang_chien_lu_2026_l2_imitation,L2_SPEECH,TRUE,25,Mandarin L2 English,UNKNOWN,TARGET_VOWEL_ONLY,MIDPOINT_F1_F2,MANUAL_VOWEL_BOUNDARIES,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,READY,"Strong speaker replication but the validated tier is isolated target-vowel midpoint acoustics plus duration."
chaturvedi_shaw_2025_vowel_errors,SPEECH,TRUE,12,American English,UNKNOWN,CONTROLLED_WORD_CONTEXT,MIDPOINT_F1_F2,MANUAL_VOWEL_BOUNDARIES,NOT_SUPPORTED,NOT_SUPPORTED,POSSIBLE,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,POSSIBLE,POSSIBLE,READY,"Every vowel boundary and formant estimate was manually corrected; context-based analyses depend on mapping the controlled stimuli."
indian_stroke_speech_corpus_2025,CLINICAL_SPEECH,FALSE,100,Telugu,YES,UTTERANCE_LEVEL_MANUAL,NONE,MANUAL_UTTERANCE_SEGMENTATION,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,"Current manual provenance is utterance/vowel-category level, not the segment boundaries required for the ten coarticulation analyses."
esmuc_choir_dataset_2022,SINGING,FALSE,12,German; Latin,YES,NOTE_LEVEL,F0_TRAJECTORY,NOTE_EVENTS,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,"Retained in MPPD as production data but excluded from default speech coarticulation pooling."
choral_singing_dataset_2018,SINGING,FALSE,16,Latin; Spanish; Catalan,YES,NOTE_LEVEL,F0_TRAJECTORY,NOTE_EVENTS,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,"Retained in MPPD as production data but excluded from default speech coarticulation pooling."
jingju_jacrc_primary_manual_2022,SINGING,FALSE,23,Mandarin/Jingju,YES,MANUAL_PHONE_CONTEXT,NONE,MANUAL_PHONE_BOUNDARIES,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,"Primary JaCRC subset has manual phoneme boundaries and can support a separate singing sensitivity analysis, but is not pooled with ordinary speech by default."
carignan_earbuds_nasalance_2024,SPEECH,FALSE,1,American English,UNKNOWN,MANUAL_PHONE_CONTEXT,NASALANCE_TRAJECTORY,MANUAL_PHONE_BOUNDARIES,NOT_SUPPORTED,NOT_SUPPORTED,POSSIBLE,NOT_SUPPORTED,READY,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,READY,"Excellent nasal validation source but single-speaker; useful for measurement validation/sensitivity, not speaker-level population inference."
