source_id,source_object,original_variable,standardized_variable,variable_domain,description,units,datatype,time_reference_or_window,target,provenance,notes
tang_parrell_niziolek_2022_variability,dataVals,color,color_code,experimental_condition,"Numeric source color cue code",source_code,integer,"trial",visual cue,RELEASED_METADATA,"Resolve against expt allColors/listColors"
tang_parrell_niziolek_2022_variability,dataVals,cond,condition_code,experimental_condition,"Numeric source experimental condition code",source_code,integer,"trial",perturbation condition,RELEASED_METADATA,"Resolve against expt allConds/listConds"
tang_parrell_niziolek_2022_variability,dataVals,token,token_source_index,identifier,"Source token/trial index",index,integer,"trial",trial,RELEASED_METADATA,"Namespace with source and speaker before harmonization"
tang_parrell_niziolek_2022_variability,dataVals,bExcl,exclusion_flag,quality_control,"Source exclusion indicator",binary,integer,"trial",trial,RELEASED_METADATA,"Preserve before applying analysis filters"
tang_parrell_niziolek_2022_variability,expt,allConds,condition_code_trial,experimental_condition,"Trial-wise condition code",source_code,integer,"trial",perturbation condition,RELEASED_METADATA,
tang_parrell_niziolek_2022_variability,expt,listConds,condition_label,experimental_condition,"Trial-wise source condition label",text,string,"trial",perturbation condition,RELEASED_METADATA,"Example audited label: baseline"
tang_parrell_niziolek_2022_variability,expt,allWords,word_code_trial,stimulus,"Trial-wise word code",source_code,integer,"trial",lexical item,RELEASED_METADATA,
tang_parrell_niziolek_2022_variability,expt,listWords,word_label,stimulus,"Trial-wise lexical item label",text,string,"trial",lexical item,RELEASED_METADATA,"Audited examples include bead, bod, booed"
tang_parrell_niziolek_2022_variability,expt,allVowels,vowel_code_trial,linguistic,"Trial-wise vowel code",source_code,integer,"trial",vowel,RELEASED_METADATA,
tang_parrell_niziolek_2022_variability,expt,listVowels,vowel_label_source,linguistic,"Trial-wise source vowel label",source_label,string,"trial",vowel,RELEASED_METADATA,"Audited examples use source labels such as iy, aa, uw; do not silently convert to IPA"
tang_parrell_niziolek_2022_variability,expt,allColors,color_code_trial,experimental_condition,"Trial-wise color cue code",source_code,integer,"trial",visual cue,RELEASED_METADATA,
tang_parrell_niziolek_2022_variability,expt,listColors,color_label,experimental_condition,"Trial-wise color label",text,string,"trial",visual cue,RELEASED_METADATA,
tang_parrell_niziolek_2022_variability,expt,shiftScaleFact,shift_scale_factor,experimental_condition,"Trial-wise auditory feedback shift scaling factor",source_units,numeric,"trial",feedback perturbation,RELEASED_METADATA,
tang_parrell_niziolek_2022_variability,expt,shiftMags,shift_magnitude,experimental_condition,"Trial-wise feedback shift magnitude",source_units,numeric,"trial",feedback perturbation,RELEASED_METADATA,"Unit mapping requires source code/documentation"
tang_parrell_niziolek_2022_variability,expt,shiftAngles,shift_angle,experimental_condition,"Trial-wise feedback shift direction/angle",source_units,numeric,"trial",feedback perturbation,RELEASED_METADATA,
tang_parrell_niziolek_2022_variability,expt.audapterParams,pertf1,audapter_perturbation_F1,experimental_signal,"Audapter perturbation F1 parameter series",source_units,numeric_vector,"Audapter parameter grid",feedback formant,RELEASED_CONFIGURATION,"Keep separate from produced F1"
tang_parrell_niziolek_2022_variability,expt.audapterParams,pertf2,audapter_perturbation_F2,experimental_signal,"Audapter perturbation F2 parameter series",source_units,numeric_vector,"Audapter parameter grid",feedback formant,RELEASED_CONFIGURATION,"Keep separate from produced F2"
