source_id,path,sheet,original_variable,standardized_variable,variable_domain,description,units,dtype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,acoustic_or_annotation_target,provenance,notes,n_nonmissing,n_unique
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,cond,condition,condition,Experimental condition,,str,long | short,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,experiment,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,2
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,stopNum,source_specific,source_specific,,,,str,stop1 | stop2,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,2
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,word,word,lexical,Target word,,str,coffee | cats | curtains | cups | cow | pig | pilots | captains,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,lexical_item,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,16
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,manip_dur,manipulated_duration,stimulus,Manipulated stimulus duration parameter,ms,int64,85 | 110 | 115 | 90 | 95 | 100 | 105 | 120,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,stimulus,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,8
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,senID_cat,sentence_metadata,stimulus,Sentence/stimulus metadata,,str,sen1 | sen4 | sen6 | sen8 | sen9 | sen13 | sen16 | sen2,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,utterance,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,8
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,talkerChange,talker_change,condition,Talker-change direction/status,,str,up | same | down,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,experiment,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,3
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,f0.norm,f0_normalized,acoustic,Source-normalized F0 value,source_normalized,float64,-1.01906080690044 | 0.501805723260631 | 0.43974894757049 | -0.919467267992866 | 0.0938492460293243 | 0.896137290455363 | 0.870097804599919 | -1.21394005251468,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,vowel,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,5219
schertz_adil_kravchuk_2023,data.zip::micro_perception.txt,table,sub,speaker_id,speaker,Source speaker identifier,,str,S01 | S02 | S03 | S04 | S05 | S06 | S07 | S08,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,speaker,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,1302,42
schertz_adil_kravchuk_2023,data.zip::micro_perception.txt,table,trial,trial_index,trial,Trial index,,int64,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,experiment,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,1302,31
schertz_adil_kravchuk_2023,data.zip::micro_perception.txt,table,choice,choice,perception,Perception-task response,,str,A | B,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,response,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,1302,2
schertz_adil_kravchuk_2023,data.zip::micro_perception.txt,table,answer,correct_answer,perception,Perception-task correct answer,,str,A | B,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,response,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,1302,2
schertz_adil_kravchuk_2023,data.zip::micro_perception.txt,table,correct,accuracy,perception,Perception-task correctness,,int64,1 | 0,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,response,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,1302,2
schertz_adil_kravchuk_2023,data.zip::micro_perception.txt,table,votA,vot_related,temporal,VOT-related source variable,,int64,5 | 85 | 35 | 55 | 15 | 75 | 45 | 25,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,stop,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,1302,10
schertz_adil_kravchuk_2023,data.zip::micro_perception.txt,table,votB,vot_related,temporal,VOT-related source variable,,int64,15 | 95 | 45 | 65 | 25 | 85 | 55 | 35,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,stop,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,1302,10
schertz_adil_kravchuk_2023,data.zip::micro_perception.txt,table,votX,vot_related,temporal,VOT-related source variable,,int64,15 | 5 | 95 | 85 | 45 | 35 | 55 | 65,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,stop,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,1302,11
schertz_adil_kravchuk_2023,data.zip::micro_perception.txt,table,diff,difference,derived,Source-derived difference,,int64,10,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,response,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,1302,1
schertz_adil_kravchuk_2023,data.zip::micro_perception.txt,table,votMin,vot_related,temporal,VOT-related source variable,,int64,5 | 85 | 35 | 55 | 15 | 75 | 45 | 25,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,stop,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,1302,10
schertz_adil_kravchuk_2023,data.zip::micro_production.txt,table,sub,speaker_id,speaker,Source speaker identifier,,str,S31 | S42 | S37 | S09 | S40 | S12 | S32 | S14,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,speaker,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,582,42
schertz_adil_kravchuk_2023,data.zip::micro_production.txt,table,group,experimental_group,speaker,Source experimental group,,str,centaur | dinosaur | aardvark,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,speaker,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,582,3
schertz_adil_kravchuk_2023,data.zip::micro_production.txt,table,stimVOT,stimulus_vot,stimulus,Stimulus VOT,ms,int64,95 | 55 | 5,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,stop,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,582,3
schertz_adil_kravchuk_2023,data.zip::micro_production.txt,table,trial,trial_index,trial,Trial index,,int64,50 | 33 | 45 | 29 | 49 | 48 | 38 | 39,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,experiment,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,582,15
schertz_adil_kravchuk_2023,data.zip::micro_production.txt,table,vot,voice_onset_time,temporal,Voice onset time; source tables use different scales and are not harmonized here,seconds_or_ms_source_dependent,float64,177.534536891679 | 64.7222222222222 | 60.0675838107224 | 50.1552410559482 | 68.9466898543912 | 77.4368231046931 | 118.716931216931 | 96.4659731457804,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,stop,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,582,582
schertz_adil_kravchuk_2023,data.zip::micro_production.txt,table,vDur,vowel_duration,temporal,Following vowel duration,seconds,float64,0.3138790087463556 | 0.3250520833333332 | 0.1693360995850622 | 0.2270520231213872 | 0.1983877551020407 | 0.2251363324386452 | 0.1663841145833333 | 0.2841326530612245,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,vowel,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,582,582
schertz_adil_kravchuk_2023,data.zip::micro_production.txt,table,order,order,condition,Experimental condition variable,,str,diffFirst | sameFirst,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,experiment,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,582,2
schertz_adil_kravchuk_2023,data.zip::sub_info.txt,table,sub,speaker_id,speaker,Source speaker identifier,,str,S01 | S02 | S03 | S04 | S05 | S06 | S07 | S08,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,speaker,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,42,42
schertz_adil_kravchuk_2023,data.zip::sub_info.txt,table,group,experimental_group,speaker,Source experimental group,,str,aardvark | centaur | dinosaur,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,speaker,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,42,3
